"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4,C37,C19,C24,C28,C36,C29";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.1uF";;;
2;"J14";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
3;"C21,C7,C13,C33,C32,C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1nF";;;
4;"R10,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3k 1%";;;
5;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"VBUS";;;
6;"C42,C2,C38,C39,C23,C35";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1uF";;;
7;"R13,R14,R29,R26,R21,R24,R30,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"1k";;;
8;"U3";"DCK5_TEX";1;"LMV321";;;
9;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
10;"R6,R2,R1,R27,R28,R22,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10k";;;
11;"R15,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"50";;;
12;"J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Primary Relay";;;
13;"Q1,Q2";"QNMOS1G2S3D_TO-236AB_SOT23_NEX";2;"PMV20ENR";;;
14;"CR1,CR11,CR10,CR9,CR8,CR2";"CR_SOD-123FL_SME";6;"1N4007FL";;;
15;"J9";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"NTC Thermistor 1";;;
16;"U2";"SOT-23-6W_PE-SOT23-6W-0512_NMD";1;"R1240N001B-TR-FE";;;
17;"L1";"IND_7045_TDK";1;"SLF7045T-4R7M2R0-PF";;;
18;"CR13";"M-FLAT_TOS";1;"CMS06TE12L_Q_M";;;
19;"CR12";"DIODE_MSP3V3";1;"MSS1P4-M3/89A";;;
20;"CR6,CR5,CR4,CR3";"DO-214AA_VIS";4;"ES2B-E3/52T";;;
21;"SW1";"SO4_222A-M-V-B_CTS";1;"USB Boot";;;
22;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
23;"SW2";"SO4_222A-M-V-B_CTS";1;"Reset";;;
24;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
25;"J1";"USB_C-UJ20-C-H-C-MSMT-TR";1;"USB_C-UJ20-C-H-C-MSMT-TR";;;
26;"R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.3k 1%";;;
27;"C41";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
28;"R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"51";;;
29;"U10";"SOT95P285X140-5N";1;"AP2112K-3.3TRG1";;;
30;"C40,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
31;"R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.2k 1%";;;
32;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Power in";;;
33;"U5,U7";"SOIC127P599X175-8N";2;"UCC27423DR";;;
34;"C16,C15,C14,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"150pF";;;
35;"R39,R38,R37,R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"3.3 0.5W";;;
36;"J13";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
37;"J12";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
38;"J11";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
39;"C31,C30,C27,C18,C20,C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"4.7uF";;;
40;"FL1";"FL4_WCM7060_TTA";1;"WCM 7060FASF-701-LM";;;
41;"R3,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
42;"J5";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Soft Start Bypass Relay";;;
43;"CR7";"CR_V3-E3&slash_52_VIS";1;"SMBJ3V3-E3/52";;;
44;"J8";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"GDT2";;;
45;"R33,R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k 1%";;;
46;"R25,R31";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15";;;
47;"R19,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100";;;
48;"J7";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"GDT1";;;
49;"U4,U6,U9,U8";"TO252-4_DMC4029SK4-13_DIO";4;"DMC4029SK4-13";;;
50;"J6";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Current Transformer";;;
51;"C22,C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
52;"J10";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"NTC Thermistor 2";;;
53;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
